Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linehanson,linepig,linenutshell,linecpa,lineexcel,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linesaggm,linel2,linel1,linel2h,linefox,lineca,linebihl,lineesp2,linesagr,linesagp,linepi,linemidweek,lineopen,linemds,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineteamrank,linemed,linekerns,linejens,lineash,lineffw,lineburd,linecrunch,linedok,linepib,linest,linecovers,lineround,lineclean,linewhatif,lineespn,linerwp,linedwig,lineps,linegametime,linedoi,linelinx,linestjohn,lineppg,linel2to,lineherbert,linefeng,lineiron,linekalin,linestd,rscore,hscore,week
Arizona,San Francisco,13.5,12.6,11.15,12,16.96,14.07,6.41,14,10.06,,20,13.86,17.3,,14.87,14.06,11.34,11.8,15.8,16.27,7,20,13.5,14.52,12.3,11.63,13.52,19.2,13.5,12.5,,21.32,13.15,14.67,11.76,12.5,11,7.24,17.31,16.1,6.85,16.75,15.3,14.03,18.7,14.9,11,14,20.4,14.2,13.14,20.4,16,14,17,9,7.1,14.6,15.06,10.55,,15.5,13.72,9.21,15.1,6.7,13.1,3.48,14.5,12.72,13.98,3.4315669573,20,23,10
Baltimore,Cleveland,7.5,11.48,10.39,13,10.24,10.71,5.22,11,3.13,,10,9.75,15.77,,11.15,8.97,8.33,12.68,11.17,10.93,9.73,12,8.5,12.44,10.4,12.66,10.92,12.1,7.5,9.5,,11.81,10.45,11.28,12.48,11.43,10.9,14.65,11.91,12.8,7,11.44,10.6,11.07,11.5,13.2,9,9,11.9,8.6,10.04,12,10,8,13,5,5.8,11.51,19.67,12.45,,11,10.37,13.1,8.77,2.58,9.4,6.92,11.2,8.42,9.98,2.8015177485,7,28,10
Carolina,Kansas City,3,-0.24,-2.74,-4,-0.43,0.09,3.42,0.01,-0.87,,1,-0.61,-3.45,,-0.86,-3.6,0.47,-0.99,-1.15,-0.51,-5.39,3,2.5,-2.39,1.6,-1.28,0.46,2.6,3,3,,-1.26,-2.75,-2.04,-3.63,0.79,0.1,-2.33,0.12,2.4,-10.03,-1.45,0.7,0.11,0.5,-3.9,1,2,2.5,5.4,1.43,2.3,-4,2.5,-3,8.5,-3,4.27,-5.48,1.55,,2,1.79,-2.23,0.4,4.38,5.23,3.12,2,1.49,1.6,2.761168702,20,17,10
Jacksonville,Houston,2.5,-1.36,-2.31,-4,-3.98,-2.01,2.29,0.01,-1.15,,-3,-5.82,-7.72,,0.65,-2.76,1.53,-2.85,-1.92,-2.01,12.4,-5,1.5,-2.5,-0.5,-3.04,-0.08,-2.7,2.5,-1.5,,-9.33,-3.25,-3.57,-3.8,-5.2,0.6,-1.13,-0.89,-2,-6.74,-2.87,0,-2.13,1.5,-2.1,-2,-1,-1.5,6.9,-2.15,-3.2,0.5,-1,-7,3,-4.6,0.09,-6.67,-1.2,,1,-2.42,-2.67,-2.76,4,-0.14,4.49,-0.4,-0.8,-2.21,2.8529850661,24,21,10
N.Y. Giants,Cincinnati,0,2.81,9.17,4,-4.21,2.93,2.28,4,1.08,,-8,2.75,2.83,,4.93,4.92,4.2,2.98,5.74,5.69,11.73,-4,0.5,7.2,3.2,3.22,2.54,0.4,1.5,3,,4.92,5.75,3.4,7.21,-2.73,3.9,4.67,1.72,0.3,6.25,6.17,0.4,3.09,2.2,8.3,0.01,-1,5,8.1,0.77,0.4,5,1.5,9,1,2.2,1.25,9.44,6.95,,4.5,3.23,2.44,-0.63,-1.73,7.63,1.71,3.6,1.46,1.05,3.3930138371,20,21,10
N.Y. Jets,Los Angeles,-1.5,2.63,2.54,1,4.15,2.85,3.39,3,3.26,,7,2.21,1.32,,2.08,3.14,2.34,3.19,2.13,1.73,0.32,5,0,3.34,2.4,3.17,2.19,3,2,3,,2.8,1.15,3.38,1.27,4.07,2.9,2.07,3.71,0.6,1.23,0.73,2.8,2.85,3.1,5,2,4,3.3,3.8,0.32,3.9,2.5,2.5,2,8,-1,6.66,0.81,-0.65,,3.5,2.19,3.87,1.61,4.97,2.73,-4.03,3.8,3,2.41,1.6210243459,9,6,10
New England,Seattle,7,6.87,9.64,7,5.28,7.78,5.62,7,8.67,,6,10.74,7.02,,7.73,9.47,6.54,6.4,10.43,10.61,2.18,7,7,11.94,8.5,6.46,7.16,7.2,7.5,7.5,,13.73,8.75,8.62,7.69,0.14,9.6,5.56,5.52,8.1,6.23,10.63,6.3,7.7,10.4,10.5,5,6,12.1,7,9.15,7.7,11.5,8.5,11,2,1,11.79,10.69,8.6,,8,6.38,4.54,8.96,5.98,9.4,10.29,5.7,5.28,7.15,2.6145874667,31,24,10
New Orleans,Denver,3,-1.99,4.9,-3,-3.84,-1.26,4.95,-1,-1.59,,-16,-0.83,-7.04,,-1.24,0.53,0.28,-2.23,-1.55,-1.55,-6.22,-2,2,-0.6,0.7,-2.08,-1.92,-2.4,2.5,1.5,,1.97,-1.65,-2.36,-0.91,-4.92,-0.2,-0.48,-0.98,0.2,-1.34,-1.37,-1.6,-1.46,1.8,0.3,-4,-1,2.4,2.4,-2.49,-2,0.01,0.5,-3,7,-5.2,0.79,-2.92,2.15,,0.01,-1.86,-1.06,-1.54,8.47,-3.12,4.06,-2.1,-1.03,-2.78,3.4151033539,25,23,10
Philadelphia,Atlanta,1,2.59,0.35,1,3.09,1.57,0.84,2,2.29,,1,0.14,1.03,,5.82,1.77,5.22,1.56,3.6,4.19,9.01,2,1,4.18,1,1.46,3.54,2.4,0,1,,-2.91,1.35,1.26,0.28,1.96,2,2.39,0.21,-0.4,-0.94,3.22,2,1.69,-0.2,2.2,3,2,1.2,-3,0.5,1.6,7.5,-1,1,-1,-5,1.37,0.74,2.85,,0.01,2.1,4.44,2.69,-6.64,2.47,3.52,2.1,2.65,2.15,2.2711513776,15,24,10
Pittsburgh,Dallas,3,0.09,-0.34,-3,5.1,-0.44,-0.14,-2,6.2,,8,-3.44,2.18,,-3.41,-7.61,-1.35,-0.21,-2.11,-2.03,2.92,2,2.5,-2.26,-1.8,-0.6,0.51,3,2.5,3,,-7.77,-2.65,-0.35,-3.89,3.93,-6.2,-0.1,0.61,3.7,-5.17,-3.86,4,-0.17,-4.1,0.01,1,3,-8.8,-5.8,1.78,3.2,1,2,-1,-1,1,4.21,-6.01,-7.85,,1,0.74,2.55,-0.41,-2.88,-1.33,4.29,1.3,1.52,3.37,3.5335639056,35,30,10
San Diego,Miami,4.5,5.36,7.83,6,3.06,5.73,3.65,5,2.3,,1,3.02,5.67,,5.44,7.05,4.5,4.69,10.93,10.87,7,5,4.5,9.08,4.7,4.71,5.84,6.5,4,4,,6.86,7.95,5.72,5.84,4.16,5.5,2.53,6.32,6.8,5.08,7.77,5.2,5.5,10.8,10.9,5,5,5.1,2.4,3.35,6.4,7,3.5,10,5.5,1,8.14,8.56,3.8,,5.5,5.44,1.19,7.48,10.15,8.63,0.6,4.1,4.38,4.59,2.4507226835,31,24,10
Tampa Bay,Chicago,-2.5,3.02,-2.21,4,-2.65,2.58,-0.5,3,4.33,,-4,5.29,6.72,,3.96,0.08,4.04,3.52,3.53,3.41,4.31,2,-1,3.12,1,3.57,2.58,2.9,0,0,,3.13,4.25,2.64,2.91,0.67,0.5,5.43,4.11,5,1.84,1.77,3.2,3.01,-0.2,5.2,1,3,2.4,-7.6,1.25,2.8,6.5,2.5,4,4,3.1,1.62,5.86,3.9,,2,3.01,6.02,1.8,8.13,3.43,-6.35,3.2,2.06,2.25,2.6091663936,10,36,10
Tennessee,Green Bay,-3,-3.05,-0.92,-1,-7.72,-1.89,3.04,-2,-0.37,,-13,-0.23,-4.27,,1.19,-0.26,1.85,-3.35,-2.82,-2.45,-1.9,-6,-3,-0.35,-1.3,-3.02,-3.07,-2,-2.5,-3,,-0.94,-1.55,-3.87,-0.07,-4.95,-0.1,2.1,-4.59,-0.4,-0.86,-1.92,-4.1,-1.89,-1.9,1.3,-2,-4,-0.4,6.4,-1.54,-2.1,1,-0.5,-3,3.5,-2.9,-1.63,-1.87,2.45,,-2,-3.23,-2.98,-0.8,1.36,-1.22,-3.14,-4.4,-1.71,-4.94,2.8733489809,25,47,10
Washington,Minnesota,2.5,-0.9,-0.96,-1,-2.8,0.77,3.64,3,2.03,,-5,-0.31,-3.38,,-1.05,4.47,1.22,-0.7,0.43,-0.76,-2.55,0.01,2,0.93,2.7,-0.54,-1.15,0.2,3,2.5,,3.48,-0.35,0.73,0.48,-2.31,2.4,1.51,0.01,0.8,2.03,0.4,-1.1,0.63,1.3,2.7,-1,1,4.7,7.7,0.83,0.3,-2.5,3.5,-1,5,-2.3,0.96,-0.73,3.7,,1.5,-1.17,0.86,1.56,9.2,3.66,2.51,1.8,0.53,1.52,2.5447080005,20,26,10
Carolina,New Orleans,3.5,3.85,0.5,1,7.95,2.79,1.9,4,1.1,,5,1.32,6.07,,2.43,-0.32,2.53,4.03,0.41,0.52,-8.18,7,3.5,0.56,2.7,3.68,3.97,5.9,3.5,4,,2.75,0.6,1.74,0.03,10.14,1.8,1.63,4.75,4.7,-4.05,0.1,5.4,2.48,-0.6,1.7,5,6,1.8,-1.6,4.19,5.8,-3.5,2,-1,2,-2,4.28,-0.67,2.55,,5.5,1.83,3.02,2.18,-2.89,3.96,7.4,5.6,5.06,6.79,2.7377561875,20,23,11
Cincinnati,Buffalo,2.5,-0.32,0.02,0.25,2.77,-0.04,3.17,1,-1.28,,3,-2.74,-1.3,,-2.1,-0.08,-0.3,0.58,-2.1,-2.68,-0.02,2,1.5,-0.47,1.8,0.45,-0.99,0.9,2.5,3,,-0.16,-1,-0.48,1.28,1.4,0.6,2.8,0.15,0.5,2.32,-3.58,1.2,0.08,-3.4,-0.4,1,1,-0.3,0.2,0.69,0.6,-1.5,5.5,-4,1.5,-2,-1.25,-2.42,-2,,1.5,0.49,2.39,-3.4,-0.96,-1.17,3.74,1.9,0.66,0.8,1.8573649818,16,12,11
Cleveland,Pittsburgh,-8,-9.52,-8.79,-12,-10.86,-9.17,-1.87,-8,-1.9,,-5,-14.37,-18.4,,-6.7,-6.98,-3.7,-10.32,-10.09,-10.19,-9.25,-12,-8,-9.23,-7.5,-10.07,-9.31,-9.6,-7.5,-10,,-12.12,-9.4,-9.42,-8.73,-12.76,-7,-9.9,-13.15,-10.8,-7,-11.5,-8.6,-9.36,-12.6,-10.8,-7,-8,-10.9,-4.9,-7.43,-12.6,-9,-7,-14,-1,-6.1,-10.36,-13.67,-10.65,,-8.5,-4.17,-8.89,-8.52,-4.28,-8.06,0.1,-9.3,-7.09,-11.1,3.4339888933,24,9,11
Dallas,Baltimore,7,8.2,5.16,9,5.78,8.68,5.61,10,12.19,,2,10.63,12.44,,7.86,12.16,6.53,8.55,10.37,10.73,7.62,10,7,12.21,8.8,8.77,7.86,7.4,7,6.5,,14.63,10,10.5,10.5,4.04,10.7,7.07,7.75,5.2,11.59,10.2,6,8.8,9.9,12.2,5,8,13.4,10.5,5.54,8.3,9.5,9,13,6,5.3,7.4,12.9,13.8,,8,6.83,6.61,3.07,10.44,9.78,6.76,7.2,6.71,8.79,2.7796568647,17,27,11
Detroit,Jacksonville,6,6.8,10.03,10,11.58,8.55,2.79,7,7.22,,16,8.92,12.37,,8.65,9.47,6.47,7.07,9.39,9.43,8.45,13,6,11.16,7.4,7.32,6.42,9.3,6.5,7,,16.3,8.6,8.35,8.72,9.28,8.4,7.52,6.15,7.4,7.75,9.19,6.2,8.5,2.7,11.3,6,9,10.9,4.7,6.55,9.9,11,6.5,13,2.5,2,6.42,12.88,9.8,,6.5,6.65,9.89,9.46,5.44,4.71,0.37,6.9,7.6,7.18,2.9362224705,19,26,11
Indianapolis,Tennessee,3,4.03,-4.78,2,5.05,2.49,2.15,4,4.54,,6,0.98,5.5,,0.74,2.2,1.41,4.68,2.73,2.32,-9.06,3,3,2.33,2.5,4.39,3.76,3,3,3,,5.36,0.8,2.32,2.39,0.41,2,3.47,3.65,2.9,2.39,-0.32,5,2.39,-3.9,3.8,1,4,0.7,-5.5,4.1,2.9,-1.5,2,1,0.5,1,3.71,0.36,2.4,,4.5,1.29,5.73,2.28,2.16,2.18,1.46,3.4,2.95,5.16,2.3242450431,17,24,11
Kansas City,Tampa Bay,7,9.06,5.31,10,11.08,8.48,-0.43,11,8.47,,4,6.55,15.99,,8.86,9.01,6.56,9.36,7.75,7.83,6.38,9,7,10.56,7.6,9.37,8.9,10.3,7.5,7.5,,15.7,8.8,9.64,9.45,13.03,7.7,7.68,10.06,9.7,10.77,7.98,10.2,8.83,5.8,11.9,8,11,5.7,4.6,7.3,10.9,8,8,11,1.5,2.4,8.48,11.83,6.55,,9,6.27,8.95,8.06,0.78,3.71,7.4,8.6,8.74,9.96,3.1950430174,19,17,11
Los Angeles,Miami,0,1.03,-0.41,-1,1.79,0.41,1.68,0.01,1.2,,-1,-5.23,3.29,,-0.87,-2.6,1.2,1.17,1.71,1.57,0.35,1,0,-0.46,-0.6,1.06,1.01,3.9,-1.5,1,,0.08,-0.8,0.26,-0.95,3.34,-2.2,1.36,0.85,4.3,1.31,-2.36,1.9,0.72,2.5,0.01,1,2,-2.7,-1.9,0.87,3.7,-1,1,-1,1.5,-3.2,0.5,-1.35,4.1,,1,0.59,0.28,-0.3,-5.22,0.59,-4.16,0.3,1.4,1.88,2.0129349398,14,10,11
Minnesota,Arizona,2.5,1.83,2.69,3,0.45,1.97,2.58,2,2.72,,5,0.48,4.98,,1.34,4.52,1.78,2.42,3.26,3.48,4.46,1,2.5,5.45,1.4,2.53,1.22,1.4,0,0,,0.3,4.6,3.34,5.5,2.81,2.8,5.31,0.95,2.2,8.38,0.89,-0.5,1.92,-3.3,6.2,0.01,1,4.4,-1.3,-0.79,1.1,3.5,-1,5,-0.5,-2.3,4.1,5.86,-1.2,,1,1.3,2.98,1.53,-3.81,-0.82,8.94,2.3,1.52,-0.05,2.2689843942,24,30,11
N.Y. Giants,Chicago,6.5,8.32,11.33,10,5.32,9.03,3.46,9,6.44,,3,13.26,12.6,,10.15,9.22,7.1,8.53,11.57,11.51,7,7,7,12.74,8.5,8.68,8.08,8.8,7.5,7,,14.53,11,10.92,11.81,4.37,10,7.38,9.05,9.6,9.28,12.75,7,8.85,7.7,12.5,5,8,14.1,8,5.33,9.4,12,8.5,15,2,7.3,7.88,15.09,10.45,,9,7.43,5.77,6.86,6.56,11.48,1.58,8.9,6.9,7.36,2.9636542121,16,22,11
Oakland,Houston,6,3.48,5.68,4,1.35,4.25,3.54,4,1.94,,1,4.95,4.49,,4.69,4.81,2.84,2.62,7.24,7.17,21,3,6,9.39,4.3,2.58,4.28,5.2,5.5,5.5,,7.15,5.1,4.37,3.63,-0.42,2.6,2.34,3.6,1.7,0.56,7.09,2.6,4.24,8.7,9.6,1,4,6.9,4.2,5.57,2.8,6.5,3,9,4,1.4,4.57,5.75,8.9,,3,5.13,0.79,9.44,5.44,1.4,6.4,3.3,4.48,1.84,2.3590356899,20,27,11
San Francisco,New England,-10.5,-10.37,-16.57,-16,-11.46,-12.79,-2.89,-13,-16.16,,-17,-15.63,-17.96,,-11.14,-14.85,-6.82,-10.48,-14,-14.42,-7,-15,-11,-13.41,-13.6,-10.42,-10.43,-16.9,-12.5,-13.5,,-23.86,-13.2,-14,-12.92,-10.47,-14.2,-6.97,-19.65,-14.3,-12.89,-15.4,-10.8,-13.28,-16.6,-13.7,-9,-12,-18.4,-16.1,-11.45,-18.6,-12.5,-12,-19,-2,-12.1,-7.26,-12.07,-7.8,,-13.5,-6.69,-5.7,-13.35,-4,-13,-8.61,-11.9,-9.79,-13.48,4.2063540064,30,17,11
Seattle,Philadelphia,6.5,4.02,1.42,3,7.79,4.02,2.89,6,8.72,,3,2.64,6.41,,0.54,2.09,1.43,5.42,-0.51,-0.9,6.45,8,6.5,0.49,5.3,5.2,3.1,7.2,6.5,6,,9.32,0.4,2.23,4.12,8.83,4.1,4.84,5.26,6.3,1.79,0.69,7.4,4.1,1.6,4.1,3,9,6,3.7,5.98,8.1,-1,6,1,3.5,4.4,6.76,0.86,3.2,,7.5,0.41,4.87,-0.69,1.01,0.28,4.87,5.7,4.94,4.9,2.7938894457,15,26,11
Washington,Green Bay,3,2.46,4.43,6,-0.31,4.19,3.96,5,2.65,,-1,7.82,0.83,,4.19,7.22,3.85,2.47,5.81,5.73,9.38,5,3,6.74,4.4,2.83,2.19,4.5,2.5,2,,10.38,5.2,4.32,5.27,1.12,6.4,4.29,2.36,4.1,4.99,6.58,-0.3,4.06,3.3,9.2,2,3,11.5,10.4,2.46,5,5.5,2.5,5,2,-2.1,0.92,7.05,8.2,,3,4.01,3.24,5.86,3.72,3.43,2.04,2.7,3.67,2.87,2.6554107174,24,42,11
Atlanta,Arizona,4,3.46,3.15,7,-1.28,4.82,2.63,6,8.36,,2,5.28,4.19,,2.06,9.02,2.92,3.3,8.35,10.45,3.21,2,4,8.67,5.7,3.73,3.24,3.5,4,4.5,,6.39,8,4.78,8.73,-0.26,7.5,4.9,4.46,5.9,10.86,5.91,0.3,4.72,5,10.6,1,3,11.5,6.9,3.5,3.5,5,5.5,9,3,1,5.09,9.34,4.65,,3.5,2.51,3.54,5.06,8.89,5.8,9.37,2.6,2.07,1.67,2.784782697,19,38,12
Baltimore,Cincinnati,3.5,3.2,3.45,3,-1.37,2.54,5.37,3,2.47,,-8,-0.26,-0.01,,6.6,1.77,4.77,2.96,4.1,6,13.74,-1,3.5,4.37,3.5,3.11,3.27,0.9,4,3,,3.13,3.5,2.08,4.39,-0.16,2.4,4.52,0.06,2.3,4.65,3.79,1.6,2.98,2,5.6,1,1,2.4,7.2,0.42,0.4,4,4.5,4,3.5,6.1,1.38,6.56,4.2,,3.5,2.13,2.12,3.76,-0.21,4.2,4.12,2.1,1.57,1.5,2.4217369787,14,19,12
Buffalo,Jacksonville,9.5,13.04,12.59,13,16.41,12.05,4.4,11,11,,18,15.94,18.27,,11.84,11.63,8.48,12.24,14.98,7.55,8.85,18,10,15.13,8.7,12.31,13.66,13.6,7.5,7,,18.69,12.5,12.1,9.34,10.01,10,6.49,12.46,12.2,4.69,15.34,11.1,12.22,14,14,8,13,16.1,12.5,9.29,14.7,14,8.5,15,2.5,4.3,11.29,15.1,14.05,,9.5,10.38,8.47,11.39,8,8,4.04,9.6,10.78,11.36,3.5331676828,21,28,12
Chicago,Tennessee,-6,-0.86,-6.61,-4,0.42,-2.43,1.08,-1,0.37,,-23,-4.96,-0.7,,-4.66,-2.39,-2.18,0.12,-1.86,0.01,-0.39,0.01,-5,-1.75,-2.9,-0.13,-1.37,-1.2,-4.5,-2,,-2.79,-2.9,-0.72,-2.44,-2.35,-2.3,-0.06,-0.64,-3.7,-1.18,-4.45,1,-1.68,-1,-1.9,0.01,1,-4.3,-6.5,1.4,-1.1,-4.5,-3,-5,0.01,-6.4,-2.78,-5.85,-1.6,,-3,-0.86,2.1,-2.7,-7.85,-0.86,-7.63,0.3,0.14,0.82,3.5280301317,27,21,12
Cleveland,N.Y. Giants,-6.5,-7.65,-14.52,-13,-7.31,-8.26,-1.81,-7,-1.96,,-7,-9.93,-12.61,,-6.74,-9.24,-3.33,-9,-8.16,-7.9,-7.78,-5,-6.5,-8.68,-8.6,-9.2,-6.8,-8.8,-6.5,-7,,-13.62,-8,-8.94,-12.37,-7.04,-10.2,-11.67,-9.64,-7.5,-7,-9.5,-4.8,-8,-8,-10,-5,-5,-11.8,-15.1,-7.81,-9.2,-6,-7,-14,2,-8.3,-7.47,-13.67,-9.85,,-8,-6.99,-11.32,-4.99,-1.67,-7.97,-13.16,-7.4,-5.13,-7.81,3.3108470402,27,13,12
Dallas,Washington,6,8.32,4.78,9,4.09,6.61,5.82,8,7.55,,-3,7.22,10.4,,8.75,7.13,7.2,8.51,7.83,7.52,-3.05,10,6,9.1,6.9,8.51,8.21,5.2,7,6,,7.55,7.1,6.46,7.51,2.4,6.7,5.75,5.86,4.8,6.13,7.32,7,6.95,8,8.6,5,6,8.2,0.5,5.67,5.7,6.5,6.5,8,3.5,6,6.13,10.04,12.15,,7,6.01,5.02,4.69,2.28,7.86,7.43,5.1,5.55,7.33,2.4248464375,26,31,12
Denver,Kansas City,3.5,4.02,3.75,4,2.25,4.11,1.97,3,1.68,,12,5.37,3.52,,4.13,3.86,3.4,3.56,6.62,4,2.47,5,3.5,6.11,3.2,3.45,4.4,5.6,3.5,3.5,,6.18,4.6,2.61,4.95,0.15,3.4,2.2,3.46,4.4,2.31,5.68,3.3,3.93,9,5.9,4,3,5.6,3.7,2.57,4.9,4,4.5,6,4,-1,7.39,4.57,3.05,,3,4.24,1.57,4.72,3.7,8.06,2.73,3.8,2.81,2.09,2.0056717795,30,27,12
Detroit,Minnesota,1.5,-0.84,0.8,-0.25,0.62,0.49,3,2,4.25,,-5,-1.58,-4,,0.62,2.41,1.69,-0.97,-1.08,-1.98,-1.52,1,1.5,0.53,2.7,-0.66,-0.95,-0.7,2.5,3,,1.52,-0.6,0.61,1.57,-2.49,3,3.53,-0.64,-0.1,2.14,-0.85,0,0.57,-2,1.5,0.01,1,1.4,6.7,1.34,-0.8,1,3.5,-1,2.5,-2.1,-1.99,-0.31,2.05,,1.5,-0.84,4.91,-2.09,4.6,2.37,4.23,-0.1,0.4,0.36,2.2273219486,13,16,12
Houston,San Diego,-2.5,0.19,0.15,2,0.27,0.35,0.62,2,-0.58,,5,-0.55,3.48,,-1.18,0.26,0.27,2.33,-6.46,-7.29,4,1,-1.5,0.07,2.1,2.5,-1.63,1.2,-1.5,1,,3.32,-1.3,-0.25,3.22,3.33,3.2,5.85,-0.54,1.1,2.81,-3.58,0.8,0.85,-6,0.8,1,1,-0.4,-5.1,-2.02,0.9,-2.5,3,0.01,1,3.3,-1.03,1.42,1.65,,1,0.14,6.2,-3.99,-9.1,-3.57,-0.2,1.6,1.36,2.07,3.0141690334,21,13,12
Indianapolis,Pittsburgh,-8.5,-1.8,-0.52,-0.25,-3.27,-1.51,2.35,2,1.91,,-11,-1.31,-6.18,,0.35,1.66,1.12,-1.48,-2.38,-1,-3.11,-5,-7,-1.34,-0.2,-1.2,-2.24,-1.6,-7.5,-2,,2.54,-2.2,-1.61,2.75,-5.43,2.6,3.47,-2.54,-0.3,3,-3.09,-1.5,-1.62,-8,0.4,-2,-2,3,-4.5,-3.66,-2.4,-3,-3,-3,5,-3.6,-2.89,-1.62,-1.5,,-4,-2.68,3.27,-3.12,4.5,-0.09,-9.05,-2,-1.22,-2.61,2.9941652787,28,7,12
Miami,San Francisco,7.5,9.39,13.17,13,5.58,10.51,3.57,14,11.6,,14,11.48,10.47,,10.67,14.83,8.4,9.71,9.26,7,10.49,12,8,12.67,10.3,9.94,9.03,12.4,7.5,7,,19.3,11,10.46,13.49,6.79,13.2,10.03,10.36,11.6,10.25,11.07,9.2,10.46,10,14.6,7,9,16.7,10.6,8.84,13.1,10,10.5,13,7,8.3,8.64,15.26,8.5,,11.5,8.81,9.48,7.18,3.4,10.79,-2.03,10.9,8.93,9.89,2.8651834212,24,31,12
N.Y. Jets,New England,-8,-9.11,-8.63,-11,-8.67,-8.55,3.7,-7,-10.45,,-20,-12.39,-11.87,,-9.86,-9.23,-4.75,-8.41,-11.33,-16.65,-7,-8,-8,-10.17,-8.9,-8.31,-9.78,-8.9,-8,-9,,-15.27,-9.5,-8.96,-10.04,-4.37,-9.9,-2.7,-9.64,-8.7,-8.27,-12.51,-7.3,-8.9,-9,-9,-6,-7,-11,-4.1,-7.67,-9.3,-10,-6.5,-15,2.5,-8,-5.82,-10.51,-7.4,,-8,-8.14,-1.33,-7.44,-7.2,-7.82,-5.69,-6.1,-5.75,-9.32,3.7918719325,22,17,12
New Orleans,Los Angeles,7.5,5.75,9.08,6,5.98,6.06,4.38,5,6.53,,-7,4.68,3.54,,7.17,6.12,5.51,4.65,9.17,8,6.94,5,7.5,8.38,5.8,4.7,6.51,5.2,7,7,,8.53,7.7,5.91,6.87,3.33,4.6,2.74,5.86,5.5,6.89,8.51,4.7,5.91,9,9.6,3,6,6.7,7.5,5.1,5.5,10,6,9,10,4.7,12.46,8.01,3.85,,5.5,6.38,3.66,6.39,15.6,6.53,5.27,4.6,4.47,4.17,2.9127046124,21,49,12
Oakland,Carolina,3.5,5.14,5.2,9,-2.78,4.09,3.57,5,6.55,,-3,4.23,3.74,,5.3,5.64,4.58,5.26,5.97,5.48,4.37,0.01,3.5,8.73,5,5.68,4.79,0.5,3,4,,6.35,5.8,2.72,10.07,-2.01,6.5,8.38,3.36,1.1,13.12,5.12,3,4.9,5,8.2,0.01,-1,5.5,6.3,2.53,1.2,7,6.5,11,2,6,2.99,9.75,5.65,,3,2.01,5.01,3.57,4.8,1.87,4.12,2.5,1.31,0.07,3.0441216887,32,35,12
Philadelphia,Green Bay,4,8.12,8.89,8,4.38,7.65,3.38,8,1.98,,-1,13.26,4.45,,9.9,10.88,7.45,6.15,12.45,6.8,7,11,4.5,11.73,7,6.44,9.57,8.8,4,3,,14.22,9.8,8.65,7.58,6.64,10.6,4.97,5.56,7.1,4.01,12.21,4,7.27,13,12.6,5,4,18.3,5.2,5.28,9,13.5,5.5,12,1,3.2,4.47,10.77,11.15,,4.5,5.46,6.06,8.04,1.4,8.53,2.54,3.6,6.57,5.57,3.6945403588,27,13,12
Tampa Bay,Seattle,-5.5,-4.4,-3.78,-5,-11.47,-4.98,0.81,-4,-5.45,,-28,-6.4,-9.11,,-3.24,-5.49,-0.83,-5.07,-3,2.05,-3.25,-7,-5.5,-2.94,-4.3,-4.89,-4.11,-6,-6,-4.5,,-8.12,-3,-4.55,-2.96,-10.78,-3,-0.91,-5.94,-3,-2.49,-5.46,-5,-4.42,-5,-2.6,-4,-6,-6.1,-4.4,-5.84,-6.9,-2,-4.5,-6,2.5,-9.6,-2.66,-4.31,-2.65,,-4,-3.95,-2.01,-2.88,1.17,-2.66,-2.73,-5.6,-4.44,-5.32,4.1021660969,5,14,12
Arizona,Washington,2.5,3.04,-2.35,-1,8.57,0.88,1.89,1,-10.57,,7,-1.44,3.28,,3.25,-4.12,2.71,3.13,1.05,-2.45,2.98,5,2.5,0.42,-0.8,2.64,3.32,3.5,2.5,2.5,,-4.66,-1.1,-0.76,-2.23,1.36,-4.1,-1.23,0.73,2.7,-6.85,-0.65,7.5,1.2,2,0.1,4,4,-5.4,-3.8,2.65,3.3,0.5,-0.5,-3,3,-1,5.7,-3.38,3.4,,2.5,2.26,0.16,-0.06,-1.5,1.67,4,2,2.87,1.75,3.260213453,23,31,13
Atlanta,Kansas City,4,3.1,3.95,2,-2.41,3.86,4.99,2,2.43,,1,5.69,0.59,,3.13,3.28,2.89,2.03,7.81,10.06,1.59,4,4,5.84,2.9,2.1,3.83,4.4,4,4,,1.25,5.1,1.74,3.36,-2.08,2.3,1.23,2.82,5.3,2,6.26,1.6,3.43,14,5.9,2,3,7.5,10.8,4.7,4.1,5.5,4.5,6,9.5,-1,5.71,4.13,4.55,,3.5,5.73,0.08,3.55,11.64,9.72,2.8,2.6,2.13,0.68,3.1855504971,29,28,13
Baltimore,Miami,3.5,3.23,1.43,2,3.35,2.66,5.68,1,3.5,,5,-0.9,1.04,,3.87,0.4,3.48,3.15,5.34,1.68,6.67,3,3.5,3.24,2.4,2.93,3.43,3.7,3,3.5,,-0.13,3.1,2.25,1.75,3.1,1.3,0.39,2.93,4.3,2.66,3.19,3.2,3,7,2.4,3,3,1.5,3.3,3.68,3.4,3,3,1,5,-1,2.47,2.97,3.95,,3.5,3.51,-2.26,5.59,-0.82,3.4,-0.58,3.1,2.54,3.07,1.7089479505,6,38,13
