Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linewunder,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,lineschmidt,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,linegrinder,lineself,linejohns,linemass,linecoff,lineesp,linereister,linetsr,linelog,linestrength,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linemrr,linedok,linepugh,linest,linecovers,lineatom,linewhatif,linedwig,lineppros,linegametime,linepickle,linecrunch,linensr,linelinx,linecombo,linegirl,linelaff,linepasteur,linearmstrong,linecover81,linerwp,linebmc,linepi1,linepi2,linepi3,linebaldwin,linestd,week,hscore,rscore,year
Washington,San Francisco,-5,-12.24,-5.86,-8,-6.87,-7.28,-6,-7,-9.2,-8.2,6,-7.49,-7.06,-4.15,-8.52,-11.11,1.81,-4,-11.21,-8.47,-13.43,-4.04,-9,-5.5,-10.85,,-12.37,-12.13,-9.52,-6.6,-3,-0.5,,,-10.09,-10.5,-9.2,-2,,-4.15,0.45,,-7.28,-11.6,-6.9,1,-13.86,-16.1,-9.45,-4.33,-13.31,-8,-4.5,,-11,-12.2,,-5,1,-3.3,-6.31,-12.71,-0.55,-3.16,-8.9,-4.67,-2.3,-3.9,-14.75,-11.07,-8.6,-6.9,-6.9,1.49,4.7772602352,9,11,19,2011
Atlanta,New Orleans,1,1.82,2.31,1,1.83,0.75,-1,5,10.2,-5.14,-4,2.12,-1.98,0.1,-0.79,5.06,3.75,-1,2.23,2.89,0.29,10.43,4,1,1.39,,4.13,-0.42,1.83,0.2,-0.5,-0.7,,,4.18,1.85,3.6,-3,,5.57,-9.3,,1,-1.4,7.2,-1,-1.19,8.4,1.2,-0.58,-0.9,0.5,1,,1,,,1.5,2,-2.2,1,9.86,4.97,-0.25,1.3,-1.21,-1.7,0.6,-2.95,-0.32,1.9,1.7,1.4,0.44,3.3686359144,10,23,26,2011
Carolina,Tennessee,3.5,0.98,0.46,-1,-1.77,1.19,2,1,-14.1,0.15,1,-1.39,5.04,-1.65,2.62,2.96,-4.42,1,5.8,1.7,7.86,2.91,0.01,3.5,4.09,,-2.86,3.93,-0.8,3,2.5,1.9,,,2.66,2.5,0.2,-2,,-3.93,-9.35,,1.37,7.3,3.6,1,4.3,3,3.94,1.37,5.14,1.5,-0.5,,-1,,,1,-3,1.5,3.57,-6.51,-6.75,0.59,2.1,4.66,2.24,4.5,-7.64,-1.32,0.4,0.3,3.1,0.25,3.7407458638,10,3,30,2011
Chicago,Detroit,3,-0.23,1.08,-1,1.25,0.28,1,1,9.2,-7.98,-7,-0.07,3.9,-2.56,-2.28,2.38,4.81,1,-0.08,1.33,-4.14,-2.72,2,2.5,-0.35,,1.02,-1.55,4.16,0.8,1,-0.3,,,1.18,0.3,2.5,-1,,0.71,-4.8,,0.39,-4.5,4.2,0.01,-0.99,3,-2.24,0.39,-1.82,-2,2,,1,,,1,2,-1.5,0.05,3.03,4.04,-1.11,-1.7,-3.81,2.88,3.3,-4.83,-1.8,3.7,2.5,2.2,5.07,2.9856821538,10,37,13,2011
Cincinnati,Pittsburgh,-4,4.95,3.25,2,0.44,1.38,-2,1,-2.2,3.37,2,4.54,-3.85,1.09,5.26,4.99,-3.64,-1,3.81,4.89,2.18,6.28,-2,-3,5.64,,6.62,3.34,-0.25,3.5,-3.5,-1.3,,,3.6,4.07,1.8,5,,5.74,0.69,,2,0.4,7.1,-4,2.81,4.2,5.31,-2.18,2.9,1,1.5,,-5,,,1.5,-6,-2.2,-0.82,-5.94,-2.13,-2.06,2.4,3.15,2.17,-2.4,2.44,0.09,-3.5,3.1,3.1,-2.79,3.3274814644,10,17,24,2011
Cleveland,St. Louis,3,5.99,6.15,6,7.48,4.87,3,3,6,8.97,10,4.57,0.94,8.43,7.47,4.39,2.26,4,2.62,3.84,4.14,4.86,7,3,5.98,,6.46,5.42,5.58,2.4,1.5,5.1,,,5.66,5.54,4.2,4,,0.07,7.96,,5.4,4.2,5.8,2,5.87,5.8,4.45,3.07,4.7,8,4,,3,,,4.5,1,2.5,5.23,6.03,6.32,6.65,5.2,5.75,6.09,1.7,10.61,-1.8,1.2,2.8,5.4,7.36,2.3021449015,10,12,13,2011
Dallas,Buffalo,5.5,-0.24,-0.23,-0.25,-1.98,1.69,4,5,2.3,0.06,14,0.18,6.92,1.79,-0.81,2.67,6.54,2,1.05,1.7,-1.28,1.83,3,4.5,1.24,,0.16,-0.77,2.6,1.7,3.5,9.3,,,0.63,0.95,1.9,7,,1.64,-2.17,,1.24,5.5,3.6,5,-1.89,1.9,0.72,1.76,-0.8,1,-0.5,,-1,,,3,-3,5.4,4.32,1.46,2.16,2.02,-0.1,-4.21,8.75,3.9,-4.84,-0.13,4.8,2.8,-0.1,5.49,3.3375590046,10,44,7,2011
Green Bay,Minnesota,13,18.1,14.86,21,16.2,14.99,13,13,27.6,19.89,6,13,13.83,16.05,12.57,15.4,10.07,12,16.93,16.02,12.86,7,17,13,18.89,,23.53,15.13,15.38,15.2,12.5,14.5,,,19.94,17.66,10.7,10,,7,17.01,,15.2,13.9,16.5,8,16.45,15.4,10.69,7.69,16.23,18,15.5,,8,,,12.5,16.9,8.6,15.64,18.46,20.38,13.15,18.3,11.49,10.18,13.4,25.81,11.07,15.1,14.5,18,11.31,4.2168063434,10,45,7,2011
Indianapolis,Jacksonville,-3,-6.76,-4.56,-5,-3.8,-5.14,-3,0.01,-5,-6.51,-3,-6.79,-8.02,-4.74,0.21,-7.12,6.42,-3,-6.68,-4.02,-11.4,-3.19,-5,-3,-6.95,,-6.77,-6.75,-1.77,-5.2,2,-1.6,,,-4.71,-6.06,-6.1,-2,,-7,1.49,,-5,-11.6,-2.5,0.01,-9.89,-13.8,0.64,-7.97,-9.58,-9,-2.5,,-6,,,-2.5,-5,-1.9,-9.12,-0.36,-1.49,2.02,-3.8,-5.94,-1.35,-2.5,-26.73,-6.11,-6.1,-3.8,-3.8,4.25,4.7185186675,10,3,17,2011
Kansas City,Denver,3,0.91,0.58,1,-0.45,1.61,0,4,10.1,-5.67,-3,2.2,13.93,-7.12,0.66,-0.26,7.12,2,0.52,0.87,6.42,-13.12,3,3,-0.24,,2.07,-1.42,7.68,1.3,7,3.8,,,-0.57,2.55,2.9,2,,0.95,-4.03,,1.3,-3.4,3,1,-2.92,2,0.45,1.76,-2.02,-2,3.5,,4,,,5,-2,-1.6,1.44,18.76,8.56,7.02,-3.1,-0.83,3.52,2.2,-1.12,1.25,5.4,3.1,1.7,3.58,4.3296827772,10,10,17,2011
Miami,Washington,4,1.44,1.32,0.25,2.07,2.32,4,7,6,-1.2,11,-0.33,2.74,-5.75,3.26,5.42,3.37,1,2.97,2.19,2.72,5.94,10,4,1.42,,-1,3.17,1.37,-1,2.5,3.6,,,2.77,-1.42,5.4,3,,-0.5,-1.11,,2.5,2.1,7.2,2,2.66,15.5,3.65,2.73,0.31,2.5,2.5,,1,,,2.5,-5.2,3.7,6.7,-1.95,2.16,-1.67,2.2,-0.24,-0.92,4.1,-9.63,0.67,9.8,5.9,5.7,5.56,3.903644997,10,20,9,2011
N.Y. Jets,New England,2,3.21,1.92,2,2.33,1.65,1,4,3.8,-1.4,-3,3.8,-1.91,2.3,3.2,4.88,-0.6,1,2.81,2.34,-2.14,7.82,3,2,2.96,,2.6,4.04,0.96,1,-2.5,-7.2,,,2.03,2.78,5.3,-3,,2.18,-8.53,,2.25,-0.2,5.6,0.01,2.25,10.1,2.92,-0.99,2.45,4,3,,4,,,2,-2,2.2,4.46,0.03,1.2,-1.4,4.2,1.09,-2.31,1.6,-1.67,2.32,5.3,4.1,6.9,0.85,3.0174106621,10,16,37,2011
Philadelphia,Arizona,14,11.58,6.69,10,14.07,10.87,11,10,10.6,9.65,1,7.02,17.85,10.16,8.27,9.78,9.25,9,14.56,9.88,11.43,7.9,14,13.5,12.93,,10.96,13.03,10.5,7.3,14,16.3,,,12.93,10.28,8.4,5,,10.23,8.7,,10.5,18.8,13.3,10,12.7,15.8,8.65,7.58,12.94,11,7.5,,5,,,8.5,10.1,10.7,11.63,22.86,8.64,6.68,13.7,5.46,15.27,15.3,11.93,6.63,12.4,11.4,14.1,11.3,3.6802117574,10,17,21,2011
San Diego,Oakland,7,5.2,1.94,5,9.3,5.97,6,10,6.7,2.53,14,3.6,11.25,0.15,5.38,9.04,5.52,3,7.94,5.73,2.39,0.95,5,7,6.76,,3.79,7.02,4.15,2.8,6,4.9,,,5.86,4.19,7.4,6,,3.81,-0.24,,5.52,9.4,11.1,9,5.51,16.8,4.69,8.14,5.37,4.5,6.5,,2,,,7.5,,,9.86,1.76,6.22,5.73,4.6,1.27,3.11,6.2,2.46,4.37,9.7,7.5,5.9,10.16,3.1951590538,10,17,24,2011
San Francisco,N.Y. Giants,3.5,11.91,11.24,9,6.76,7.86,6,6,2.5,9.8,3,7.89,6.11,4.05,10.28,9.9,0.17,2,12.11,10.68,8.43,3.98,7,4.5,13.57,,10.92,12.91,9.81,8.4,3,8,,,10.95,10.01,6,3,,11.36,2.12,,8.12,10.9,11.3,-1,14.96,8.7,13.09,3.09,13.64,10.5,5,,2,,,5.5,13.2,,6.07,8.28,3.13,3.76,14.8,8.03,5.82,4.4,11.79,3.45,2.5,5.1,3.4,3.74,4.0809087556,10,27,20,2011
Seattle,Baltimore,-6.5,-8.51,-4.79,-10,-12.62,-9.55,-7,-8,-17.8,-13.98,4,-9.45,-10.51,-7.72,-11.35,-6.48,-2.93,-9,-8.45,-6.21,-16.28,5.18,-12,-7,-8.82,,-5.57,-12.2,-6.58,-7.5,-7,-9.4,,,-10.28,-7.45,-9.1,-3,,-4.03,-19.79,,-9.1,-11.9,-6.5,-7,-12.04,-11.4,-6,-8.59,-13.1,-8,-8,,-13,,,-7,-14.3,-6.7,-9.16,-3.23,-10.38,-2.96,-11.8,-8.95,-3.77,-6.9,-21.82,-13.02,-12.4,-13.3,-13.3,-9.16,4.1916921802,10,22,17,2011
Tampa Bay,Houston,-3.5,-0.41,-6.58,-3,-5.47,-3.78,-6,-2,-1.7,-11.9,-3,-6.52,-5.58,-0.81,-8.61,-3.25,4.69,-3,-3.01,-0.08,-3.14,-8.32,-7,-3.5,-2.73,,4.69,-5.89,-1.94,-0.5,-2.5,-3.2,,,-1.76,-0.33,-5.4,-3,,5.98,-6.12,,-3.23,-8.7,2.8,-3,-6.77,-10.6,-2,-3.36,-5.85,-7,-0.5,,-9,,,-2,-5,,-4.6,4.29,0.75,3.2,-6.4,-6.56,-0.14,-3.1,-8.45,-5.48,-6.4,-3.2,-3.2,-2.28,3.601510496,10,9,37,2011
Atlanta,Tennessee,6,4.02,3.56,4,5.8,4.77,4,6,2.9,3.6,4,1.9,6.92,0.89,3,4.43,2.92,4,6.19,4.27,7.2,1.36,7,6,6.25,,5.38,2.68,7.81,3.7,5.5,,,,4.32,4.66,4.2,5,,6.98,-4.12,,4.55,7.6,6,5,4.4,5.2,7.28,4.04,5.37,4,4,,4,8.7,,5,3.2,-0.6,7.61,13.12,5.52,8.14,1.7,4.55,7.68,4.3,-0.35,4.05,8.1,5.9,6.7,7.06,2.4580934231,11,23,17,2011
Baltimore,Cincinnati,7,3.71,5.11,5,11.63,6.15,4,6,0.4,2.72,4,2.08,6.56,1.93,5.12,2.54,4.42,4,10.06,4.48,7.95,7,6,7,6.89,,1.77,6.08,8.12,5.8,7.5,,,,5.43,5.39,1.9,3,,3.26,13.84,,5.9,9.5,5.6,8,8,2,5.46,6.55,7.45,11,5.9,,9,6.5,,5.5,10,5.9,7.88,6.52,1.89,3.37,6.1,2.25,8.17,,1.57,3.87,11,10.4,7.4,13.28,3.0195685089,11,31,24,2011
Chicago,San Diego,4.5,10.94,11.4,10,8.5,9.35,5,8,15.3,13.27,1,8.05,6.54,9.3,8.22,12.73,6.49,5,13.57,10.17,8.73,7,11,5.5,14.16,,10.86,11.05,10.81,9,3.5,,,,11.73,12.21,11,3,,9.45,2.7,,10.1,10.1,11.2,1,13.58,21.5,7.57,5.48,14.6,14,5.5,,3,16.1,,8,1,2.2,7.79,11.66,14.04,12.78,11.6,5.54,0.67,4.4,10.85,11.22,11.3,11.8,14.4,6.61,4.3408765127,11,31,20,2011
Cleveland,Jacksonville,1,-2.06,0.75,0.25,1.04,-0.43,-1,1,-8,-2.19,-9,-1.63,1.78,1.34,3.5,-3.18,3.2,1,-1.56,-0.42,-4.47,-3.2,-1,1,-0.29,,-1.57,-2.55,1.01,-1.6,-1,,,,-3.08,-0.32,-2.8,2,,-2.15,3.25,,-0.5,-3.6,-0.5,2,-0.49,-3,2.54,-0.62,-0.98,-0.5,0.5,,1,-2.4,,1,3,1.6,-0.64,3.45,-4.36,-0.71,-0.7,-0.95,-0.86,-3,-5.34,-2.39,-4.1,0.1,0.1,5.63,2.6551856309,11,14,10,2011
Denver,N.Y. Jets,-6,-3.48,-4.15,-3,-9.45,-3.91,-4,-1,-14.7,-5.87,-14,-2.3,-13.13,-0.77,-2.25,0,-0.43,-5,-4.95,0.64,-1.23,-9.2,-9,-5.5,-2.78,,-0.43,-6.82,-5.64,-1.3,-5,,,,-4.42,-1.88,-3.4,-3,,-0.49,-5.95,,-3.4,-7,-0.4,-5,-4.15,-3.4,-2.11,-0.88,-6.29,-3.5,-1.7,,-9,-2.4,,-1,-9,-0.4,-4.63,-10.54,-8.04,-1.37,-4.2,-2.33,-5.42,-4.2,-5.97,-1.25,-7.6,-2.1,-2.1,-5.3,3.4754314897,11,17,13,2011
Detroit,Carolina,7,15.29,7.92,15,15.56,12.22,10,14,13.7,14.9,4,10.06,12.4,11.23,12.45,10.89,9.33,9,13.15,11.63,13.53,15.78,16,8,16.64,,17.18,13.87,12.33,6.8,7.5,,,,14.62,12.27,9.8,10,,16.14,16.49,,12.45,14.4,13.3,8,14.26,18.6,13.32,10.14,14.65,18,11.3,,3,14.4,,11,8.1,7.2,13.57,25.47,10.44,7.18,13.6,10.09,3.91,4.7,16.13,11.99,12.5,14.3,11.4,13.71,4.0232688455,11,49,35,2011
Green Bay,Tampa Bay,13.5,15.49,15.48,19,18.42,16.88,17,16,19.7,21.03,7,17.22,10.85,11.45,18.48,18.89,14.23,15,19.47,16.24,16,11.07,22,14,21,,15.56,17.39,13.24,17.1,13,,,,22.23,16.33,13.2,12,,7,13.59,,16.33,18.5,15.6,9,20.88,24.1,11.27,14.85,20.64,21.5,13.5,,12,20.2,,16,22,12.9,20.33,13.71,14.98,10.26,18.5,12.61,10.71,15.6,22.08,17.44,20,19.6,13.3,27.94,4.1043580394,11,35,26,2011
Miami,Buffalo,3,-4.99,-2.88,-4,2.91,-0.44,2,5,-2.5,-1.03,-10,-1.87,6.66,-5.46,-0.08,3.46,1.36,-2,-1.96,-0.61,-8.6,5.64,7,2.5,-2.04,,-7.54,-3.14,-1.31,-2.8,1,,,,-2.2,-2.58,4.3,3,,-5.85,-7.8,,-1.03,-1.7,1.8,3,-1.48,13.3,-2.28,1.49,-2.73,-1,-2.5,,-3,-0.4,,0.5,-8.1,0.9,4.86,-4.1,-0.77,0.96,-2.2,-1.3,-1.71,3.4,-12.25,0.25,6.2,2.2,3.1,-2.3,4.3202122385,11,35,8,2011
Minnesota,Oakland,2,-2.58,-0.74,-2,0.13,-0.14,-2,1,-4.1,-0.11,-2,-2.83,-0.97,-3.82,-0.35,3.35,0.86,-1,2.82,1.53,-6.33,6.08,-2,2,1.48,,-5.4,0.48,0.66,0.9,1.5,,,,0.67,-0.38,0.1,3,,-1.86,-4.56,,0.48,1.1,3.8,4,0.82,3.2,4.36,1.37,1.09,0.01,-4,,-1,1.2,,2.5,-5.4,-1.7,4.22,0.87,-1.35,1.4,-1.7,-1.91,2.66,2.7,-8.5,3.61,2.3,0.9,-0.3,1.2,2.7347237748,11,21,27,2011
N.Y. Giants,Philadelphia,6,3.79,-1.1,6,-2.06,3.13,1,4,7.9,0.21,-4,1.12,5.29,9,2.13,3.83,2.42,5,-0.75,3.61,5.4,-13.08,3,5.5,3.74,,8.37,-0.56,3.72,2.6,5.5,,,,2.46,4.81,4.2,5,,5.24,4.11,,3.61,-4.3,5.3,2,0.46,3.9,-0.32,0.9,-0.3,3,8.1,,1,3.7,,5,7,4.9,0.8,8.1,7.89,7.89,-1,2.43,0.81,2.1,4.14,2.23,3.4,2.4,3.6,6.09,3.1050027794,11,10,17,2011
New England,Kansas City,16.5,14.68,7.81,15,18.83,15.43,17,15,12.9,15.39,3,10.67,12.69,11.23,14.88,14.94,10.72,11,19.79,13.88,23.03,6.42,23,16.5,20.71,,11.5,19.52,10.26,13,12,,,,17.03,12.73,9.7,13,,9.54,26.95,,14.88,22.1,14.9,12,22.29,23.3,10.74,16.97,21.87,20,13,,9,19.6,,12,22,16.1,17.65,9.22,10.74,8.59,18.7,9.31,14.02,,17.26,15.46,13.8,11.6,14.2,15.03,4.7232826144,11,34,3,2011
San Francisco,Arizona,10,16.89,17.96,16,16.75,13.07,11,10,13,13.81,1,9.89,11.74,15.84,14.2,10.79,10.15,10,14.44,13.28,13.4,4.85,14,10,17.56,,18.88,15.18,18.33,10.1,10,,,,15.64,16.89,9.4,10,,16.27,10.71,,12.5,14.9,13.2,6,18.54,11.8,15.42,10.27,17.46,15,12.5,,8,14.2,,11,12.3,7.6,9.51,25.64,12.19,11.37,15.4,8.14,10.91,11.4,19.99,11.75,10.8,14.3,9.2,14.03,4.1771756603,11,23,7,2011
St. Louis,Seattle,3,-3.56,2.12,-3,2.32,-0.91,-1,3,1.9,-3.74,-10,-2.32,-1.25,-4.17,-1.28,-1.69,-0.51,-1,-3.8,-1.12,0.01,-0.79,1,2,-2.4,,-3.63,-3.67,2.1,-1.1,3,,,,-3.04,-1.11,0.9,3,,-0.93,0.08,,-1.1,-3.1,-0.3,2,-2.85,2.7,0.49,1.94,-3.6,-5,1.5,,4,-2.8,,1.5,-5.7,0.7,2.89,-4.74,2.34,2.79,-3.8,-2.28,4.55,0.5,-10.22,,3.1,0.1,-2.6,-4.3,3.1380624134,11,7,24,2011
Washington,Dallas,-7,-7.86,-3.31,-5,-2.1,-6.43,-6,-6,-15.7,-7.32,7,-5.96,-10.78,-1.12,-5.42,-5.92,-1.77,-7,-7.79,-4.42,-10,9.15,-8,-7,-6.07,,-6.5,-9.48,-4.7,-3.6,-7,,,,-7.61,-5.29,-8.3,-10,,-7.65,-0.3,,-6.8,-13.2,-5.5,-2,-7.35,-9.9,-0.65,-6.29,-8.53,-5,-4.5,,-8,-8.2,,-4,-12.4,-6.8,-7.7,-8.09,-9.84,-3.98,-8,-2.73,-4.2,-7.3,-13.82,-7.32,-7.7,-7.7,-7.7,-8.06,3.6424381037,11,24,27,2011
Atlanta,Minnesota,10,11.62,11.14,12,11.83,10.71,8,11,21.7,10.05,,10.43,13.94,8.83,10.16,9.93,7.51,8,11.27,9.08,11,7,13,10,12.72,,12.65,10.66,10.57,7.9,8.5,,,,11.91,13.07,9.1,,,12.64,4.78,,11,11.6,11.1,6,11.9,16.4,7.72,9.54,12.08,12,11,,4,,,9.5,12.6,6.5,12.66,13.41,15.43,9.15,10.2,10.3,7.22,9.5,14.59,6.4,13.9,10.2,15,,2.9907019549,12,24,14,2011
Baltimore,San Francisco,3.5,-2.28,4.2,-1,7.58,1.66,2,2,0.01,1.68,,-1.08,4.05,0.39,0.43,-0.29,0.85,1,1.69,1.07,1,9.18,3,3.5,1.22,,-4.04,-0.11,4.04,1.2,5,,,,0.82,0.13,-2.4,,,-4.9,12.66,,1.32,4.1,3.7,6,0.45,-1,-0.03,4.59,-0.04,1.5,2.5,,2,,,1.5,-7.1,5.9,2.28,-5.56,-0.21,-0.42,-0.9,2.91,4.31,,-5.8,3.42,5,3.4,2.3,,3.3272251221,12,16,6,2011
Cincinnati,Cleveland,6.5,10.6,2.9,9,7.38,9.89,9,9,18.3,11.8,,9.62,12.97,7.08,11.52,9.78,7.6,7,10.52,11.76,14.19,3.32,11,7.5,13.3,,9.71,11.52,8.15,9.8,7,,,,13.08,9.07,2.3,,,7.62,8.46,,9.72,10.4,13.3,6,11.96,8.1,9.61,7.01,11.83,8,9,,1,,,9,9.8,7.1,8.01,12.82,14.16,10.02,11.6,7.55,5.67,6.1,14.09,25.67,8.4,9,10.7,,3.6747196797,12,23,20,2011
Dallas,Miami,7,7.39,10.3,8,4.12,7.06,6,6,13,6.54,,5.85,8.8,6.89,5.82,3.36,4.58,6,6.63,6.83,13.78,12.63,5,7,9.69,,9.03,6.25,6.27,8.1,8.5,,,,6.94,8.47,0.5,,,8.86,7.74,,6.94,11.6,6.4,6,7.88,-0.3,5.76,8.75,8.33,8,8,,9,,,7.5,4,9.8,7.11,10.78,10.24,7.48,5.2,5.45,10.53,7.9,10.25,6.67,5.2,7.1,6.4,,2.4930761011,12,20,19,2011
Detroit,Green Bay,-6,-3.02,2.59,-6,-1.21,-2.92,-3,-3,-13.5,-2.9,,-3.86,-6.76,-2.21,0.19,-5.76,-0.24,-6,-3.1,-2.92,1.52,-2.07,-6,-5.5,-0.96,,-8.39,-1.14,-4.26,-5.2,-6.5,,,,-4.45,-3.41,-5.4,,,-3.59,-0.97,,-3.01,3.2,-4.2,0.01,-0.66,-4.6,1.34,-2.72,-1.27,0.5,-3.5,,-6,,,-3.5,-2.8,3.7,-1.69,-5.48,-9.03,-4.57,-1.7,-3.13,-3.33,-7.5,-11.79,-1.83,-7.7,1,1,,3.3519177263,12,15,27,2011
Indianapolis,Carolina,-3.5,-7.24,-8.32,-7,-5.17,-5.12,-6,2,-3,-7.32,,-3.63,-0.95,-6.11,-4.16,-5.32,-3.34,-5,-7.23,-3.71,-16,-10.26,0.01,-3.5,-6.52,,-6.8,-7.8,-0.35,-5.6,-3,,,,-6.12,-6.12,-2.3,,,0.76,0.41,,-5.25,-10.7,-1.9,-1,-9.57,-1.7,-1.71,-3.34,-9.57,-8,0.01,,-7,,,-2.5,-9.1,-5.4,-5.39,8.5,-1.12,0.76,-11.4,-6.37,1.55,-3.2,-21.38,-11,-1.1,-5.1,-5.1,,4.3532740682,12,19,27,2011
Jacksonville,Houston,-6.5,-8.98,-9.76,-8,-11.84,-8.26,-9,-7,-8.3,-6.45,,-8.3,-5.13,-6.77,-11.46,-7.99,-5.37,-7,-10.56,-5.74,-5,-7,-10,-6.5,-8.46,,-7.9,-10.95,-5.83,-4.4,-3,,,,-10.19,-7.8,-9.2,,,-8.1,-13.18,,-8.38,-9.5,-7.3,-7,-10.69,-12.6,-7.77,-10.75,-11.37,-10.5,-5,,-6,,,-2,-8.6,-8.5,-6.96,-8.1,-4.96,-1.62,-8.1,-10.85,1.78,-5,-18.05,-8.57,-8.5,-12.2,-12.2,,3.1640861006,12,13,20,2011
Kansas City,Pittsburgh,-10.5,-10.02,-6.52,-9,-13.55,-10.51,-11,-7,-7.2,-12.55,,-8.28,-11.9,-8.47,-9.65,-11.49,-4.56,-10,-11.1,-7.59,-10,-16.18,-13,-10.5,-12.2,,-6.99,-15.15,-5.91,-8.7,-10,,,,-12.89,-10.63,-12.7,,,-6.73,-9.93,,-10.01,-16.8,-10.4,-9,-14.69,-15.6,-5.99,-8.9,-15.15,-16,-8.5,,-12,,,-8.5,-6.5,-12.1,-9.84,-7.92,-5.46,-3.73,-10.1,-9.54,-3.23,-11.7,-17.63,-7.5,-11.9,-13.9,-13.9,,3.5555939283,12,9,13,2011
N.Y. Jets,Buffalo,9.5,4.47,2.76,6,12.56,6.42,7,9,12.7,7.79,,4.34,1.95,6.32,5.12,6.94,4.34,5,6.74,5.84,0.28,16.26,14,9,6.52,,2.92,6.14,8.92,3.3,7,,,,6.93,6.19,9.6,,,3.55,-0.52,,6.35,9.6,8.5,8,6.81,14.3,5.13,10.21,6.37,5.5,5.5,,6,,,6.5,6,6.8,11.41,8.46,11.07,9.44,6.5,0.5,6.82,8.4,3.01,1.47,11.9,8.9,3.4,,3.155245672,12,28,24,2011
New Orleans,N.Y. Giants,7.5,8.12,4.41,9,8.02,7.21,8,8,-1,6.04,,4.49,9.27,4.44,8.56,7.32,7.09,5,7.37,7.46,9,12.55,8,7.5,9.94,,7.86,8.38,5.27,7.1,6.5,,,,8.64,9.39,4,,,8.05,11.17,,7.8,11.4,7.8,5,9.18,8.1,8.12,4.12,9.12,9,5.5,,1,,,7,14.7,3.7,9.02,4.24,0.26,1.52,9.4,6.76,2.83,7.8,7.73,1.69,9,9.6,6.2,,2.9810563586,12,49,24,2011
Oakland,Chicago,3,-6.09,-1.46,-5,-6.71,-3.88,0,-3,-12.9,-4.3,,-3.5,6.18,4.59,-3.04,-5.96,-1.02,-1,-8.61,-2.89,1.42,-14.56,-7,2,-5.88,,-4.46,-7.95,-5.14,-2.9,-1,,,,-6.59,-6,-8.6,,,-6.13,3.87,,-4.52,-9.4,-4.7,-1,-8.39,-12.6,-3.85,-4.37,-9.81,-6.5,2,,2,,,-0.5,4.1,7.7,-8.19,-6.88,-8.63,-4.35,-6.6,-4.58,1.72,3.9,-9.42,-10.17,-8.9,-6.3,-6.3,,4.6043794942,12,25,20,2011
Philadelphia,New England,-3,-3.6,-3.98,-5,-7.25,-3.59,-9,-4,-4.5,-4.43,,-2.37,-6.68,-3.94,-1.38,-3.31,-0.22,-5,-1.54,-2.07,0.37,-2.36,-8,-3,-2.51,,-4.28,-3.35,-5.58,-0.5,-4.5,,,,-4.72,-3.16,-6.1,,,-2.54,-12.94,,-3.23,0.4,-3.1,1,-3.04,-6.4,-1.26,-3.85,-2.78,-4.5,-1.5,,-1,,,-3,-10,-1.6,-2.15,-7.78,-3.36,-2.23,-4.6,-3.77,-0.47,-3.2,-11.14,-6.73,-5,-2.3,-2.3,,2.8636595998,12,20,38,2011
San Diego,Denver,4.5,0.39,1.83,2,7.09,3.21,6,4,11.4,1.68,,0.46,6.95,-2.04,4.67,-0.84,4.02,3,2.85,1.39,2.28,3.02,9,4.5,2.97,,-1.06,1.89,4.79,2.7,6.5,,,,0.6,1.77,-2.6,,,-0.43,7.06,,3.18,5.5,3.1,7,3.31,3.7,3.57,3.47,3.33,4,2.5,,7,,,3.5,2.1,3,6.62,4.28,5.45,-0.51,2,5.47,9.32,6.3,-3.58,0.93,6.7,5.2,0.8,,2.947317756,12,13,16,2011
Seattle,Washington,3,5.58,5.76,4,3.01,5.09,4,7,9.3,5.16,,5.15,2.42,6.61,3.5,7.83,3.36,2,7.86,6.83,5,16.74,6,3,6.65,,7.01,4.1,7.62,3.9,6,,,,7.5,7.38,4.7,,,9.69,-7.58,,5.29,5.8,9.7,1,4.78,8.6,4.38,4.41,3.97,6,5,,-4,,,6,6.2,2.7,5.16,12.26,7.64,5.98,3.8,-0.19,3.61,3.5,5.42,8.54,9.7,8.1,10.2,,3.1819233122,12,17,23,2011
St. Louis,Arizona,2.5,-1.89,2.8,-2,0.3,-1.86,-3,-1,-1.5,-3.85,,-5.27,-2.62,0.07,-3.69,-3.55,-1.98,1,-3.02,-0.91,0.01,-13.75,-1,1.5,-2.1,,0.42,-4.96,2.16,-1.8,3,,,,-4.14,-0.05,-3.1,,,2.4,-2.67,,-1.99,0.2,-0.2,2,-2.25,-2.8,-0.56,-0.49,-3.72,-2.5,0.5,,-6,,,0.01,5,-2.3,-0.77,1.32,0.11,1.72,-5.3,-5.21,4.02,1.8,-10.31,-5.63,-0.9,-6.9,-6.9,,2.8464861049,12,20,23,2011
