,year,name,grade,age,draft,prev.grade,model.weight,prev.attempts,last.grade,last.attempts,prior,posterior,pred,
58,2016,Andy Dalton,70.6,-1.15742642,35,72.2912654,563,2497,81.7,386,73.52860382,72.75561557,72.2208425,CIN
68,2016,Ben Roethlisberger,80.3,4.501711157,11,87.74664705,509,4860,91.7,469,73.52860382,84.39333497,86.3564829,PIT
74,2016,Blaine Gabbert,46.2,-3.120465435,10,62.59393853,160,1066,66.6,282,73.52860382,68.98598761,67.2802725,SF
81,2016,Blake Bortles,56.9,-5.655715264,3,58.03607771,625,1081,67,606,73.52860382,67.03987049,68.72250633,JAX
106,2016,Brian Hoyer,79.8,0.885010267,260,61.04968759,200,999,62.8,369,73.52860382,68.54003346,64.13465828,CHI
113,2016,Brock Osweiler,51.7,-4.223819302,7,64.20121312,510,305,64.4,275,73.52860382,71.95250733,70.53475034,HOU
134,2016,Cam Newton,68.5,-2.690622861,1,79.99681464,510,2418,86.5,495,73.52860382,77.52047053,79.16554845,CAR
152,2016,Case Keenum,58.9,-1.461327858,260,63.23033465,322,455,69.9,125,73.52860382,71.13181995,64.37209154,LA
167,2016,Chad Henne,60,1.17,57,54.90334887,0,1954,0,0,73.52860382,62.99190776,56.91906584,JAX
175,2016,Chase Daniel,76.2,-0.097878166,260,65.55670395,1,77,57.4,2,73.52860382,73.13936077,65.26853156,PHI
2110,2016,Derek Anderson,60.4,3.214921287,31,68.15153728,53,1543,49.8,6,73.52860382,70.80207944,66.01111123,CAR
222,2016,Derek Carr,85.3,-4.568788501,36,63.69163823,560,1172,77.9,573,73.52860382,69.21388687,70.30109718,OAK
248,2016,Drew Brees,83.2,7.628336756,32,88.82067881,673,6276,90.1,627,73.52860382,85.87081867,89.39776836,NO
257,2016,Drew Stanton,47,2.32,43,51.71236492,48,452,62.2,25,73.52860382,68.47689276,63.46753202,ARI
268,2016,Eli Manning,64.4,5.65982204,1,69.59312233,598,5473,67.3,618,73.52860382,70.43970518,72.64787407,NYG
273,2016,Geno Smith,65,-4.106091718,39,58.31819524,14,852,62.3,42,73.52860382,68.01871092,63.20084829,NYJ
